MaxDepDepth, 5, MaxDepLength, 7, DiffWords, 3, WordCount, 11.0, FreqRank, 10.55, 
MaxDepDepth, 8, MaxDepLength, 9, DiffWords, 4, WordCount, 14.0, FreqRank, 10.64, 
MaxDepDepth, 6, MaxDepLength, 13, DiffWords, 9, WordCount, 32.0, FreqRank, 9.48, 
MaxDepDepth, 3, MaxDepLength, 4, DiffWords, 1, WordCount, 7.0, FreqRank, 8.77, 
MaxDepDepth, 4, MaxDepLength, 12, DiffWords, 2, WordCount, 14.0, FreqRank, 10.2, 
MaxDepDepth, 7, MaxDepLength, 12, DiffWords, 4, WordCount, 21.0, FreqRank, 9.6, 
MaxDepDepth, 4, MaxDepLength, 6, DiffWords, 2, WordCount, 13.0, FreqRank, 9.0, 
MaxDepDepth, 4, MaxDepLength, 13, DiffWords, 7, WordCount, 20.0, FreqRank, 11.34, 
MaxDepDepth, 8, MaxDepLength, 19, DiffWords, 5, WordCount, 30.0, FreqRank, 8.95, 
MaxDepDepth, 9, MaxDepLength, 13, DiffWords, 10, WordCount, 35.0, FreqRank, 8.92, 
MaxDepDepth, 5, MaxDepLength, 14, DiffWords, 3, WordCount, 13.0, FreqRank, 8.17, 
MaxDepDepth, 4, MaxDepLength, 7, DiffWords, 5, WordCount, 15.0, FreqRank, 9.92, 
MaxDepDepth, 7, MaxDepLength, 12, DiffWords, 7, WordCount, 25.0, FreqRank, 12.06, 
MaxDepDepth, 9, MaxDepLength, 8, DiffWords, 9, WordCount, 29.0, FreqRank, 9.67, 
MaxDepDepth, 9, MaxDepLength, 5, DiffWords, 12, WordCount, 15.0, FreqRank, 9.8, 
MaxDepDepth, 5, MaxDepLength, 19, DiffWords, 9, WordCount, 30.0, FreqRank, 10.16, 
MaxDepDepth, 5, MaxDepLength, 3, DiffWords, 2, WordCount, 14.0, FreqRank, 8.88, 
MaxDepDepth, 5, MaxDepLength, 9, DiffWords, 5, WordCount, 21.0, FreqRank, 9.13, 
MaxDepDepth, 10, MaxDepLength, 13, DiffWords, 7, WordCount, 28.0, FreqRank, 9.49, 
MaxDepDepth, 10, MaxDepLength, 5, DiffWords, 12, WordCount, 29.0, FreqRank, 9.37, 
MaxDepDepth, 4, MaxDepLength, 8, DiffWords, 3, WordCount, 14.0, FreqRank, 8.76, 
MaxDepDepth, 8, MaxDepLength, 19, DiffWords, 7, WordCount, 37.0, FreqRank, 9.29, 
MaxDepDepth, 6, MaxDepLength, 9, DiffWords, 3, WordCount, 21.0, FreqRank, 8.97, 
MaxDepDepth, 9, MaxDepLength, 12, DiffWords, 8, WordCount, 35.0, FreqRank, 10.2, 
MaxDepDepth, 5, MaxDepLength, 6, DiffWords, 7, WordCount, 16.0, FreqRank, 9.12, 
MaxDepDepth, 6, MaxDepLength, 14, DiffWords, 4, WordCount, 20.0, FreqRank, 8.65, 
MaxDepDepth, 11, MaxDepLength, 6, DiffWords, 6, WordCount, 26.0, FreqRank, 8.24, 
MaxDepDepth, 3, MaxDepLength, 5, DiffWords, 4, WordCount, 12.0, FreqRank, 8.9, 
MaxDepDepth, 6, MaxDepLength, 15, DiffWords, 4, WordCount, 24.0, FreqRank, 8.62, 
MaxDepDepth, 6, MaxDepLength, 13, DiffWords, 3, WordCount, 19.0, FreqRank, 11.46, 
MaxDepDepth, 4, MaxDepLength, 4, DiffWords, 5, WordCount, 12.0, FreqRank, 10.21, 
MaxDepDepth, 5, MaxDepLength, 5, DiffWords, 5, WordCount, 12.0, FreqRank, 9.11, 
MaxDepDepth, 6, MaxDepLength, 11, DiffWords, 5, WordCount, 26.0, FreqRank, 10.2, 
MaxDepDepth, 6, MaxDepLength, 10, DiffWords, 5, WordCount, 19.0, FreqRank, 7.41, 
MaxDepDepth, 9, MaxDepLength, 11, DiffWords, 12, WordCount, 31.0, FreqRank, 8.84, 
MaxDepDepth, 8, MaxDepLength, 9, DiffWords, 5, WordCount, 22.0, FreqRank, 10.26, 
MaxDepDepth, 5, MaxDepLength, 7, DiffWords, 3, WordCount, 13.0, FreqRank, 8.97, 
MaxDepDepth, 10, MaxDepLength, 16, DiffWords, 12, WordCount, 38.0, FreqRank, 9.41, 
MaxDepDepth, 5, MaxDepLength, 4, DiffWords, 2, WordCount, 12.0, FreqRank, 9.31, 
MaxDepDepth, 7, MaxDepLength, 4, DiffWords, 4, WordCount, 9.0, FreqRank, 10.95, 
MaxDepDepth, 2, MaxDepLength, 4, DiffWords, 4, WordCount, 8.0, FreqRank, 9.87, 
MaxDepDepth, 4, MaxDepLength, 6, DiffWords, 9, WordCount, 15.0, FreqRank, 9.47, 
MaxDepDepth, 7, MaxDepLength, 12, DiffWords, 12, WordCount, 26.0, FreqRank, 9.84, 
MaxDepDepth, 4, MaxDepLength, 8, DiffWords, 6, WordCount, 17.0, FreqRank, 9.13, 
MaxDepDepth, 6, MaxDepLength, 5, DiffWords, 3, WordCount, 10.0, FreqRank, 9.93, 
MaxDepDepth, 4, MaxDepLength, 6, DiffWords, 3, WordCount, 14.0, FreqRank, 8.96, 
MaxDepDepth, 9, MaxDepLength, 6, DiffWords, 9, WordCount, 24.0, FreqRank, 10.37, 
MaxDepDepth, 5, MaxDepLength, 11, DiffWords, 7, WordCount, 14.0, FreqRank, 9.56, 
MaxDepDepth, 7, MaxDepLength, 3, DiffWords, 3, WordCount, 18.0, FreqRank, 7.97, 
MaxDepDepth, 7, MaxDepLength, 3, DiffWords, 3, WordCount, 14.0, FreqRank, 9.67, 
MaxDepDepth, 3, MaxDepLength, 10, DiffWords, 6, WordCount, 15.0, FreqRank, 9.18, 
MaxDepDepth, 6, MaxDepLength, 17, DiffWords, 7, WordCount, 24.0, FreqRank, 9.15, 
MaxDepDepth, 5, MaxDepLength, 5, DiffWords, 1, WordCount, 10.0, FreqRank, 9.02, 
MaxDepDepth, 4, MaxDepLength, 13, DiffWords, 8, WordCount, 18.0, FreqRank, 14.03, 
MaxDepDepth, 10, MaxDepLength, 5, DiffWords, 6, WordCount, 22.0, FreqRank, 9.11, 
MaxDepDepth, 5, MaxDepLength, 3, DiffWords, 1, WordCount, 11.0, FreqRank, 9.76, 
MaxDepDepth, 5, MaxDepLength, 7, DiffWords, 7, WordCount, 17.0, FreqRank, 8.9, 
MaxDepDepth, 5, MaxDepLength, 6, DiffWords, 5, WordCount, 15.0, FreqRank, 8.75, 
MaxDepDepth, 8, MaxDepLength, 18, DiffWords, 11, WordCount, 39.0, FreqRank, 8.19, 
MaxDepDepth, 6, MaxDepLength, 3, DiffWords, 3, WordCount, 14.0, FreqRank, 9.57, 
MaxDepDepth, 11, MaxDepLength, 9, DiffWords, 7, WordCount, 24.0, FreqRank, 9.31, 
MaxDepDepth, 5, MaxDepLength, 12, DiffWords, 4, WordCount, 18.0, FreqRank, 9.09, 
MaxDepDepth, 5, MaxDepLength, 8, DiffWords, 8, WordCount, 15.0, FreqRank, 9.31, 
MaxDepDepth, 7, MaxDepLength, 10, DiffWords, 8, WordCount, 23.0, FreqRank, 8.77, 
MaxDepDepth, 5, MaxDepLength, 5, DiffWords, 5, WordCount, 12.0, FreqRank, 8.38, 
MaxDepDepth, 5, MaxDepLength, 7, DiffWords, 1, WordCount, 16.0, FreqRank, 8.6, 
MaxDepDepth, 5, MaxDepLength, 2, DiffWords, 6, WordCount, 9.0, FreqRank, 10.41, 
MaxDepDepth, 4, MaxDepLength, 7, DiffWords, 3, WordCount, 14.0, FreqRank, 8.02, 
MaxDepDepth, 9, MaxDepLength, 3, DiffWords, 5, WordCount, 16.0, FreqRank, 8.77, 
MaxDepDepth, 4, MaxDepLength, 10, DiffWords, 7, WordCount, 18.0, FreqRank, 10.05, 
MaxDepDepth, 8, MaxDepLength, 13, DiffWords, 8, WordCount, 37.0, FreqRank, 8.44, 
MaxDepDepth, 3, MaxDepLength, 3, DiffWords, 3, WordCount, 10.0, FreqRank, 9.59, 
MaxDepDepth, 6, MaxDepLength, 12, DiffWords, 7, WordCount, 21.0, FreqRank, 8.95, 
MaxDepDepth, 4, MaxDepLength, 5, DiffWords, 4, WordCount, 15.0, FreqRank, 9.49, 
MaxDepDepth, 7, MaxDepLength, 8, DiffWords, 3, WordCount, 17.0, FreqRank, 8.91, 
MaxDepDepth, 4, MaxDepLength, 11, DiffWords, 4, WordCount, 22.0, FreqRank, 8.23, 
MaxDepDepth, 5, MaxDepLength, 5, DiffWords, 6, WordCount, 15.0, FreqRank, 11.6, 
MaxDepDepth, 6, MaxDepLength, 5, DiffWords, 8, WordCount, 24.0, FreqRank, 9.27, 
MaxDepDepth, 5, MaxDepLength, 10, DiffWords, 5, WordCount, 24.0, FreqRank, 8.95, 
MaxDepDepth, 7, MaxDepLength, 9, DiffWords, 7, WordCount, 24.0, FreqRank, 9.2, 
MaxDepDepth, 7, MaxDepLength, 12, DiffWords, 7, WordCount, 29.0, FreqRank, 8.14, 
MaxDepDepth, 7, MaxDepLength, 15, DiffWords, 5, WordCount, 17.0, FreqRank, 12.43, 
MaxDepDepth, 9, MaxDepLength, 6, DiffWords, 8, WordCount, 25.0, FreqRank, 9.61, 
MaxDepDepth, 4, MaxDepLength, 8, DiffWords, 2, WordCount, 13.0, FreqRank, 8.52, 
MaxDepDepth, 6, MaxDepLength, 9, DiffWords, 4, WordCount, 21.0, FreqRank, 8.84, 
MaxDepDepth, 5, MaxDepLength, 15, DiffWords, 5, WordCount, 28.0, FreqRank, 9.31, 
MaxDepDepth, 3, MaxDepLength, 10, DiffWords, 3, WordCount, 16.0, FreqRank, 8.5, 
MaxDepDepth, 6, MaxDepLength, 3, DiffWords, 1, WordCount, 11.0, FreqRank, 9.14, 
MaxDepDepth, 4, MaxDepLength, 9, DiffWords, 4, WordCount, 17.0, FreqRank, 9.46, 
MaxDepDepth, 4, MaxDepLength, 6, DiffWords, 5, WordCount, 13.0, FreqRank, 8.86, 
MaxDepDepth, 6, MaxDepLength, 17, DiffWords, 4, WordCount, 18.0, FreqRank, 9.22, 
MaxDepDepth, 5, MaxDepLength, 18, DiffWords, 9, WordCount, 24.0, FreqRank, 8.49, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 2, WordCount, 11.0, FreqRank, 11.45, 
MaxDepDepth, 3, MaxDepLength, 6, DiffWords, 3, WordCount, 9.0, FreqRank, 11.99, 
MaxDepDepth, 9, MaxDepLength, 6, DiffWords, 7, WordCount, 20.0, FreqRank, 10.64, 
MaxDepDepth, 8, MaxDepLength, 19, DiffWords, 5, WordCount, 39.0, FreqRank, 9.61, 
MaxDepDepth, 4, MaxDepLength, 10, DiffWords, 6, WordCount, 18.0, FreqRank, 9.17, 
MaxDepDepth, 5, MaxDepLength, 10, DiffWords, 7, WordCount, 29.0, FreqRank, 9.84, 
MaxDepDepth, 6, MaxDepLength, 18, DiffWords, 8, WordCount, 33.0, FreqRank, 9.03, 
MaxDepDepth, 7, MaxDepLength, 6, DiffWords, 10, WordCount, 26.0, FreqRank, 9.31, 
