MaxDepDepth, 7, MaxDepLength, 2, DiffWords, 3, WordCount, 11.0, FreqRank, 10.55, 
MaxDepDepth, 9, MaxDepLength, 7, DiffWords, 4, WordCount, 10.0, FreqRank, 10.6, 
MaxDepDepth, 5, MaxDepLength, 8, DiffWords, 8, WordCount, 15.5, FreqRank, 9.48, 
MaxDepDepth, 3, MaxDepLength, 3, DiffWords, 1, WordCount, 8.0, FreqRank, 8.77, 
MaxDepDepth, 5, MaxDepLength, 12, DiffWords, 3, WordCount, 17.0, FreqRank, 10.02, 
MaxDepDepth, 6, MaxDepLength, 14, DiffWords, 3, WordCount, 20.0, FreqRank, 9.61, 
MaxDepDepth, 6, MaxDepLength, 7, DiffWords, 2, WordCount, 17.0, FreqRank, 8.96, 
MaxDepDepth, 2, MaxDepLength, 1, DiffWords, 3, WordCount, 4.0, FreqRank, 12.04, 
MaxDepDepth, 7, MaxDepLength, 8, DiffWords, 2, WordCount, 15.0, FreqRank, 9.37, 
MaxDepDepth, 4, MaxDepLength, 10, DiffWords, 4, WordCount, 19.0, FreqRank, 8.95, 
MaxDepDepth, 5, MaxDepLength, 14, DiffWords, 3, WordCount, 13.0, FreqRank, 8.17, 
MaxDepDepth, 3, MaxDepLength, 7, DiffWords, 4, WordCount, 11.0, FreqRank, 9.56, 
MaxDepDepth, 7, MaxDepLength, 9, DiffWords, 6, WordCount, 24.0, FreqRank, 12.2, 
MaxDepDepth, 3, MaxDepLength, 6, DiffWords, 3, WordCount, 14.0, FreqRank, 9.31, 
MaxDepDepth, 4, MaxDepLength, 2, DiffWords, 3, WordCount, 8.0, FreqRank, 10.32, 
MaxDepDepth, 2, MaxDepLength, 2, DiffWords, 2, WordCount, 5.0, FreqRank, 10.41, 
MaxDepDepth, 7, MaxDepLength, 3, DiffWords, 3, WordCount, 20.0, FreqRank, 7.81, 
MaxDepDepth, 6, MaxDepLength, 5, DiffWords, 3, WordCount, 15.0, FreqRank, 8.81, 
MaxDepDepth, 10, MaxDepLength, 13, DiffWords, 7, WordCount, 28.0, FreqRank, 9.49, 
MaxDepDepth, 1, MaxDepLength, 1, DiffWords, 1, WordCount, 2.0, FreqRank, 7.62, 
MaxDepDepth, 3, MaxDepLength, 3, DiffWords, 2, WordCount, 7.5, FreqRank, 8.39, 
MaxDepDepth, 4, MaxDepLength, 12, DiffWords, 4, WordCount, 17.0, FreqRank, 9.28, 
MaxDepDepth, 4, MaxDepLength, 9, DiffWords, 3, WordCount, 11.5, FreqRank, 8.97, 
MaxDepDepth, 9, MaxDepLength, 12, DiffWords, 8, WordCount, 35.0, FreqRank, 10.2, 
MaxDepDepth, 5, MaxDepLength, 6, DiffWords, 7, WordCount, 16.0, FreqRank, 9.12, 
MaxDepDepth, 4, MaxDepLength, 5, DiffWords, 4, WordCount, 13.0, FreqRank, 8.33, 
MaxDepDepth, 5, MaxDepLength, 3, DiffWords, 4, WordCount, 13.0, FreqRank, 8.21, 
MaxDepDepth, 3, MaxDepLength, 5, DiffWords, 3, WordCount, 12.0, FreqRank, 8.38, 
MaxDepDepth, 6, MaxDepLength, 7, DiffWords, 2, WordCount, 14.0, FreqRank, 8.63, 
MaxDepDepth, 3, MaxDepLength, 4, DiffWords, 0, WordCount, 5.0, FreqRank, 10.49, 
MaxDepDepth, 3, MaxDepLength, 4, DiffWords, 4, WordCount, 11.0, FreqRank, 10.2, 
MaxDepDepth, 5, MaxDepLength, 5, DiffWords, 5, WordCount, 12.0, FreqRank, 9.11, 
MaxDepDepth, 6, MaxDepLength, 12, DiffWords, 3, WordCount, 16.0, FreqRank, 10.2, 
MaxDepDepth, 6, MaxDepLength, 10, DiffWords, 4, WordCount, 19.0, FreqRank, 7.3, 
MaxDepDepth, 0, MaxDepLength, 0, DiffWords, 1, WordCount, 1.0, FreqRank, 9.69, 
MaxDepDepth, 3, MaxDepLength, 3, DiffWords, 4, WordCount, 9.5, FreqRank, 9.98, 
MaxDepDepth, 2, MaxDepLength, 1, DiffWords, 2, WordCount, 3.0, FreqRank, 7.8, 
MaxDepDepth, 0, MaxDepLength, 0, DiffWords, 1, WordCount, 1.0, FreqRank, 9.69, 
MaxDepDepth, 5, MaxDepLength, 4, DiffWords, 2, WordCount, 12.0, FreqRank, 9.31, 
MaxDepDepth, 7, MaxDepLength, 2, DiffWords, 3, WordCount, 11.0, FreqRank, 10.77, 
MaxDepDepth, 2, MaxDepLength, 4, DiffWords, 2, WordCount, 5.0, FreqRank, 10.14, 
MaxDepDepth, 4, MaxDepLength, 14, DiffWords, 9, WordCount, 22.0, FreqRank, 9.44, 
MaxDepDepth, 6, MaxDepLength, 12, DiffWords, 11, WordCount, 22.0, FreqRank, 10.1, 
MaxDepDepth, 4, MaxDepLength, 4, DiffWords, 5, WordCount, 9.5, FreqRank, 9.13, 
MaxDepDepth, 6, MaxDepLength, 5, DiffWords, 3, WordCount, 10.0, FreqRank, 9.74, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 2, WordCount, 7.0, FreqRank, 7.89, 
MaxDepDepth, 5, MaxDepLength, 6, DiffWords, 8, WordCount, 16.0, FreqRank, 10.4, 
MaxDepDepth, 5, MaxDepLength, 11, DiffWords, 7, WordCount, 14.0, FreqRank, 9.56, 
MaxDepDepth, 5, MaxDepLength, 3, DiffWords, 2, WordCount, 13.0, FreqRank, 7.2, 
MaxDepDepth, 7, MaxDepLength, 3, DiffWords, 3, WordCount, 15.0, FreqRank, 9.55, 
MaxDepDepth, 3, MaxDepLength, 3, DiffWords, 3, WordCount, 9.0, FreqRank, 9.63, 
MaxDepDepth, 6, MaxDepLength, 17, DiffWords, 6, WordCount, 22.0, FreqRank, 9.16, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 1, WordCount, 10.0, FreqRank, 8.41, 
MaxDepDepth, 4, MaxDepLength, 13, DiffWords, 7, WordCount, 18.0, FreqRank, 14.03, 
MaxDepDepth, 8, MaxDepLength, 5, DiffWords, 5, WordCount, 19.0, FreqRank, 9.14, 
MaxDepDepth, 1, MaxDepLength, 1, DiffWords, 1, WordCount, 2.0, FreqRank, 11.35, 
MaxDepDepth, 5, MaxDepLength, 9, DiffWords, 8, WordCount, 20.0, FreqRank, 8.84, 
MaxDepDepth, 6, MaxDepLength, 6, DiffWords, 5, WordCount, 19.0, FreqRank, 8.4, 
MaxDepDepth, 8, MaxDepLength, 18, DiffWords, 10, WordCount, 38.0, FreqRank, 8.05, 
MaxDepDepth, 3, MaxDepLength, 2, DiffWords, 1, WordCount, 9.0, FreqRank, 8.77, 
MaxDepDepth, 7, MaxDepLength, 4, DiffWords, 4, WordCount, 17.0, FreqRank, 9.26, 
MaxDepDepth, 0, MaxDepLength, 0, DiffWords, 0, WordCount, 1.0, FreqRank, 7.66, 
MaxDepDepth, 4, MaxDepLength, 8, DiffWords, 7, WordCount, 12.0, FreqRank, 9.13, 
MaxDepDepth, 7, MaxDepLength, 12, DiffWords, 8, WordCount, 25.0, FreqRank, 8.77, 
MaxDepDepth, 5, MaxDepLength, 5, DiffWords, 5, WordCount, 12.0, FreqRank, 8.38, 
MaxDepDepth, 3, MaxDepLength, 6, DiffWords, 1, WordCount, 9.0, FreqRank, 8.43, 
MaxDepDepth, 5, MaxDepLength, 2, DiffWords, 5, WordCount, 11.0, FreqRank, 10.41, 
MaxDepDepth, 4, MaxDepLength, 7, DiffWords, 2, WordCount, 14.0, FreqRank, 7.7, 
MaxDepDepth, 9, MaxDepLength, 3, DiffWords, 5, WordCount, 16.0, FreqRank, 8.77, 
MaxDepDepth, 4, MaxDepLength, 5, DiffWords, 5, WordCount, 12.0, FreqRank, 11.6, 
MaxDepDepth, 6, MaxDepLength, 13, DiffWords, 8, WordCount, 18.5, FreqRank, 8.42, 
MaxDepDepth, 3, MaxDepLength, 3, DiffWords, 3, WordCount, 9.0, FreqRank, 10.16, 
MaxDepDepth, 4, MaxDepLength, 12, DiffWords, 4, WordCount, 13.0, FreqRank, 8.85, 
MaxDepDepth, 0, MaxDepLength, 0, DiffWords, 0, WordCount, 1.0, FreqRank, 8.31, 
MaxDepDepth, 7, MaxDepLength, 8, DiffWords, 3, WordCount, 17.0, FreqRank, 8.91, 
MaxDepDepth, 4, MaxDepLength, 11, DiffWords, 1, WordCount, 16.0, FreqRank, 8.11, 
MaxDepDepth, 5, MaxDepLength, 3, DiffWords, 6, WordCount, 9.5, FreqRank, 10.88, 
MaxDepDepth, 4, MaxDepLength, 5, DiffWords, 5, WordCount, 12.0, FreqRank, 9.25, 
MaxDepDepth, 3, MaxDepLength, 4, DiffWords, 2, WordCount, 7.0, FreqRank, 10.6, 
MaxDepDepth, 6, MaxDepLength, 8, DiffWords, 5, WordCount, 19.0, FreqRank, 8.59, 
MaxDepDepth, 3, MaxDepLength, 12, DiffWords, 2, WordCount, 13.0, FreqRank, 7.79, 
MaxDepDepth, 9, MaxDepLength, 7, DiffWords, 4, WordCount, 18.0, FreqRank, 11.54, 
MaxDepDepth, 4, MaxDepLength, 5, DiffWords, 4, WordCount, 7.0, FreqRank, 10.31, 
MaxDepDepth, 4, MaxDepLength, 8, DiffWords, 2, WordCount, 13.0, FreqRank, 8.73, 
MaxDepDepth, 5, MaxDepLength, 8, DiffWords, 3, WordCount, 10.0, FreqRank, 8.46, 
MaxDepDepth, 6, MaxDepLength, 3, DiffWords, 2, WordCount, 12.0, FreqRank, 8.34, 
MaxDepDepth, 3, MaxDepLength, 10, DiffWords, 2, WordCount, 16.0, FreqRank, 8.41, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 1, WordCount, 9.5, FreqRank, 8.15, 
MaxDepDepth, 4, MaxDepLength, 8, DiffWords, 3, WordCount, 12.0, FreqRank, 8.27, 
MaxDepDepth, 4, MaxDepLength, 6, DiffWords, 5, WordCount, 13.0, FreqRank, 8.86, 
MaxDepDepth, 2, MaxDepLength, 3, DiffWords, 2, WordCount, 9.0, FreqRank, 9.49, 
MaxDepDepth, 6, MaxDepLength, 7, DiffWords, 7, WordCount, 20.0, FreqRank, 8.55, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 1, WordCount, 10.0, FreqRank, 11.15, 
MaxDepDepth, 3, MaxDepLength, 6, DiffWords, 2, WordCount, 8.0, FreqRank, 12.16, 
MaxDepDepth, 7, MaxDepLength, 6, DiffWords, 6, WordCount, 19.0, FreqRank, 10.78, 
MaxDepDepth, 4, MaxDepLength, 5, DiffWords, 3, WordCount, 13.0, FreqRank, 11.43, 
MaxDepDepth, 4, MaxDepLength, 8, DiffWords, 4, WordCount, 12.0, FreqRank, 8.27, 
MaxDepDepth, 1, MaxDepLength, 1, DiffWords, 2, WordCount, 2.0, FreqRank, 9.33, 
MaxDepDepth, 5, MaxDepLength, 5, DiffWords, 2, WordCount, 17.0, FreqRank, 9.14, 
MaxDepDepth, 3, MaxDepLength, 5, DiffWords, 5, WordCount, 14.0, FreqRank, 8.63, 
